Indole-3-acetic acid,exogenous compound
LPG(18:2),endogenous compound
kynurenine,endogenous compound
FAHFA(22:6/22:5),endogenous compound
Vaccenyl carnitine,endogenous compound
Indoxyl sulfate,endogenous compound
L-Tryptophan,endogenous compound
ACar(16:1),endogenous compound
L-Ornithine,endogenous compound
Dibutyl phthalate,exogenous compound
ACar(10:1),endogenous compound
D(+)-Glucose,endogenous compound
4-Hydroxy-2-butenoic acid gamma-lactone,exogenous compound
ACar(13:1),endogenous compound
LPE(20:2),endogenous compound
LPE(22:4),endogenous compound
Thyroxine,endogenous compound
Eicosadienoic acid,endogenous compound
2-Ethyl-2-Hydroxybutyric acid,endogenous compound
LPE(20:1),endogenous compound
LPE(17:0),endogenous compound
LPC(20:2),endogenous compound
4-Methylbenzaldehyde,exogenous compound
ACar(15:0),endogenous compound
Azelaic acid,exogenous compound
ACar(12:2),endogenous compound
7-Methylguanine,endogenous compound
Linoelaidic acid,endogenous compound
LPC(20:1),endogenous compound
N'-Formylkynurenine,endogenous compound
ACar(11:1),endogenous compound
LPC(20:3),endogenous compound
LPS(18:1),endogenous compound
Allopurinol-1-ribonucleoside,endogenous compound
L-(-)-Fucose,endogenous compound
4-Amino-2-methylenebutanoic acid,endogenous compound
L-trans-4-Methyl-2-pyrrolidinecarboxylic acid,endogenous compound
LysoPA(18:1(9Z)/0:0),endogenous compound
Glycyrrhizin,exogenous compound
ACar(15:1),endogenous compound
LPC(18:0),endogenous compound
Alachlor,exogenous compound
Glutaric acid,endogenous compound
Pyro-L-glutaminyl-L-glutamine,endogenous compound
Trimethylamine N-oxide,endogenous compound
LPE(18:1),endogenous compound
ACar(14:3),endogenous compound
Choline,endogenous compound
Salicyluric acid,exogenous compound
ACar(18:2),endogenous compound
gamma-Glutamylleucine,endogenous compound
LPC(16:1),endogenous compound
16-Hydroxy hexadecanoic acid,endogenous compound
LysoPE(16:1(9Z)/0:0),endogenous compound
ACar(6:1),endogenous compound
Uric acid,endogenous compound
LysoPE(16:0/0:0),endogenous compound
5-Aminolevulinic acid,endogenous compound
p-Anisic acid,exogenous compound
"2,6 Dimethylheptanoyl carnitine",endogenous compound
DL-2-Aminooctanoic acid,endogenous compound
FAHFA(16:0/8:0),endogenous compound
ACar(14:0),endogenous compound
Chavicol,exogenous compound
Santene,endogenous compound
Deoxycholic acid 3-glucuronide,endogenous compound
ACar(13:0),endogenous compound
LPC(16:0),endogenous compound
7-Methylinosine,endogenous compound
Ethyl dodecanoate,exogenous compound
ACar(12:1),endogenous compound
Eugenol,exogenous compound
LPS(18:0),endogenous compound
LPC(18:2),endogenous compound
ACar(9:1),endogenous compound
LPA(16:0),endogenous compound
Deoxycholic acid,endogenous compound
Traumatic acid,endogenous compound
ACar(18:4),endogenous compound
ACar(8:2),endogenous compound
FAHFA(16:1/16:0),endogenous compound
Hulupinic acid,exogenous compound
FAHFA(19:0/8:0),endogenous compound
24-Epibrassinolide,exogenous compound
LPS(20:4),endogenous compound
LPC(22:4),endogenous compound
LPE(22:5),endogenous compound
LPC(22:5),endogenous compound
2-Hydroxyphenylacetic acid,exogenous compound
LPS(22:6),endogenous compound
LPA(20:4),endogenous compound
LPC(19:1),endogenous compound
Styrene,exogenous compound
LPG(16:0),endogenous compound
Octadecanedioic acid,exogenous compound
gamma-Glutamyltyrosine,endogenous compound
L-Dopa,endogenous compound
LPC(16:2),endogenous compound
PC(2:0/19:1),endogenous compound
LPA(18:2),endogenous compound
Cer/AS(d17:2/16:1),endogenous compound
2-Hydroxystearic acid,exogenous compound
PC(2:0/26:1),endogenous compound
4'-Hydroxyacetophenone,exogenous compound
PC(18:3e/2:0),endogenous compound
Chenodeoxycholic acid glycine conjugate,endogenous compound
Glycerol 1-(5-hydroxydodecanoate),endogenous compound
Tetradecanedioic acid,endogenous compound
Lysyl-Cysteine,endogenous compound
15-Keto-prostaglandin E2,endogenous compound
LPC(19:0),endogenous compound
LysoPE(18:1(9Z)/0:0),endogenous compound
MethylIndole-3-acetate,exogenous compound
4-Hydroxydiphenylamine,exogenous compound
Prostaglandin D2,endogenous compound
LPA(22:6),endogenous compound
"3,4,5-Trimethoxycinnamic acid",exogenous compound
5-Hydroxytryptophan,endogenous compound
(+)-1-Methylpropyl 3-(methylthio)-2-propenyl disulfide,exogenous compound
PC(2:0/24:1),endogenous compound
"3,4-Dihydro-6-hydroxy-2,5,7,8-tetramethyl-2H-1-benzopyran-2-carboxylic acid",exogenous compound
N'-Hydroxymethylnorcotinine,exogenous compound
"3,4-Dihydro-2,2,5,7,8-pentamethyl-2H-1-benzopyran-6-ol",exogenous compound
Ethyl N-ethylanthranilate,exogenous compound
Docosapentaenoic acid (22n-3),endogenous compound
ACar(12:3),endogenous compound
2-Benzofurancarboxaldehyde,exogenous compound
Mesaconic acid,exogenous compound
Allopregnanolone,endogenous compound
L-Glutamine,endogenous compound
LPC(17:1),endogenous compound
Creatine,endogenous compound
4-Pentenoic acid,exogenous compound
"(3R, 6'Z)-3,4-Dihydro-8-hydroxy-3-(6-pentadecenyl)-1H-2-benzopyran-1-one",exogenous compound
Arachidonic acid,endogenous compound
Palmitic amide,exogenous compound
"1-Phenyl-1,3-heptadecanedione",exogenous compound
ACar(18:3),endogenous compound
LPE(22:6),endogenous compound
LPA(20:5),endogenous compound
LPC(14:0),endogenous compound
Cysteinyl-Cysteine,endogenous compound
"5a-Pregnane-3,20-dione",endogenous compound
PC(20:4/22:6),endogenous compound
Progesterone,endogenous compound
Perfluorooctanesulfonic acid,exogenous compound
Oleamide,endogenous compound
LPC(17:0),endogenous compound
Docosahexaenoic acid,endogenous compound
LPC(18:3),endogenous compound
Uridine,endogenous compound
Lysyl-Alanine,endogenous compound
Fragransin B2,exogenous compound
Nutriacholic acid,endogenous compound
(S)-Abscisic acid,exogenous compound
"4-Chloro-3,5-dimethoxybenzyl alcohol",exogenous compound
ACar(20:5),endogenous compound
beta-Elemenone,exogenous compound
ACar(20:4),endogenous compound
p-Cresol sulfate,endogenous compound
PC(18:5e/17:2),endogenous compound
LPA(20:3),endogenous compound
ACar(22:4),endogenous compound
Cholic acid,endogenous compound
Macrophorin D,endogenous compound
ACar(14:2),endogenous compound
Palmitoleoyl Ethanolamide,endogenous compound
Ginkgoic acid,exogenous compound
Calcitriol,endogenous compound
LPC(22:3),endogenous compound
FAHFA(16:0/3:0),endogenous compound
trans-Hexadec-2-enoyl carnitine,endogenous compound
LysoPC(18:1(9Z)),endogenous compound
LPC(20:5),endogenous compound
ACar(4:0),endogenous compound
1-(sn-Glycero-3-phospho)-1D-myo-inositol,endogenous compound
"9,10-epoxyoctadecanoic acid",endogenous compound
Hypoletin 8-gentiobioside,exogenous compound
Furcelleran,exogenous compound
Adrenic acid,endogenous compound
Xanthohumol,exogenous compound
Solasodine,exogenous compound
N-Methylcytisine,exogenous compound
Lithocholic acid glycine conjugate,endogenous compound
"PC(22:5(7Z,10Z,13Z,16Z,19Z)/16:0)",endogenous compound
Dodecanedioic acid,endogenous compound
L-Hexanoylcarnitine,endogenous compound
LPC(12:0),endogenous compound
LysoPC(P-18:1(9Z)),endogenous compound
9-OxoODE,endogenous compound
trans-Zeatin-riboside,exogenous compound
13-OxoODE,endogenous compound
"LysoPE(0:0/22:4(7Z,10Z,13Z,16Z))",endogenous compound
"(7b,10a)-3-Hydroxy-1,3,5-cadinatrien-9-one",exogenous compound
"PI(20:2(11Z,14Z)/18:2(9Z,12Z))",endogenous compound
Testosterone,exogenous compound
2-Phenylacetamide,exogenous compound
"LysoPE(20:3(11Z,14Z,17Z)/0:0)",endogenous compound
Beta-Tyrosine,endogenous compound
Vulgarone A,exogenous compound
Al ,NEMs
Ti ,NEMs
Cr,EMs
Fe ,EMs
Cu,EMs
Zn,EMs
Se ,EMs
Rb ,NEMs
Sr ,EMs
Ba ,NEMs
Pb,NEMs
Mg ,EMs
Li,EMs
Na,EMs
Si,NEMs
Ca,EMs
